,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
70,71,True,598.38942297976,342.408328744283,70.0,0.0,689.4297390797,True,500.39385464506,437.17803167210303,70.0,0.0,664.46869086755,True,583.578834146446,467.112433835283,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
71,72,True,597.881303271539,343.43201768716,71.0,0.0,689.498080906936,True,499.349579771781,438.77826133037,71.0,0.0,664.737817063507,True,582.263166204986,466.907560882234,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
72,73,True,596.618466810882,344.587242935175,72.0,0.0,688.980379207879,True,499.28072560256703,440.53027943341,72.0,0.0,665.843953232215,True,581.182652371508,466.958457431256,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
73,74,True,595.546501460437,344.835300387187,73.0,0.0,688.176590560074,True,499.061399390432,443.416876538269,73.0,0.0,667.593294424451,True,579.614108106457,466.826570319368,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
74,75,True,592.444965059412,344.921479509935,74.0,0.0,685.537645685174,True,498.930518214724,445.445635463311,74.0,0.0,668.844881986344,True,579.891447979048,466.835104517301,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
75,76,True,590.618270877227,344.753464495839,75.0,0.0,683.874910474049,True,498.258814156694,447.382683466705,75.0,0.0,669.636551683602,True,580.66702512721,466.79656986524,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
76,77,True,589.403803967875,344.573582197659,76.0,0.0,682.73552542718,True,498.20668686426,448.880774284531,76.0,0.0,670.599621501938,True,580.676648583148,466.800355413652,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
77,78,True,589.215428496006,344.531742050985,77.0,0.0,682.55178738204,True,498.27728706945504,451.533676085134,77.0,0.0,672.430602700569,True,580.534674031404,466.662399735405,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
78,79,True,587.685452022765,344.432452368949,78.0,0.0,681.181256908975,True,497.928404030405,453.097539491049,78.0,0.0,673.223644737103,True,580.141838889474,466.30216730443294,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
79,80,True,586.738059062985,344.196359123197,79.0,0.0,680.244576300807,True,497.34266377289697,454.250325554372,79.0,0.0,673.567430533108,True,579.87732062147,465.93235828054,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
